category,company,address,phone1,phone2,phone3,fax,discount description,website,facebook,instagram,twitter,youtube
Home & Entertaining,Orkin Pest Control,5A Haughton Avenue Kingston 10,876-906-2306,,,,10%  discount,http://www.orkin.com.jm/,https://www.facebook.com/OrkinJamaica,https://www.instagram.com/orkinjamaica/,https://twitter.com/orkinjamaica,
Home & Entertaining,Orkin Pest Control,"Lot 1218 Providence Way Ironshore, Industrial Estate",876-953-8649,,,,10%  discount,http://www.orkin.com.jm/,https://www.facebook.com/OrkinJamaica,https://www.instagram.com/orkinjamaica/,https://twitter.com/orkinjamaica,
Home & Entertaining,Petals ‘n’ Roots,"Lane Plaza, 121 Old Hope Road, Kgn 6",876 905 3538,,,,15% discount,,https://www.facebook.com/Petalsnrootsja/,https://www.instagram.com/petalsandroots/,https://twitter.com/RootsJa,
Home & Entertaining,Puerto Seco Beach,"876 Discovery Bay, Saint Ann",(876) 670-0128,,,,10%  discount,,https://www.facebook.com/pg/puertosecobeachja/posts/,,,
Home & Entertaining,That Blooming Florist   ,"20 West Kings House Road, Kgn 10           ",876 908 3538-9,,,,20% discount,,,,,
Home & Entertaining,Victor Nugent,Drapery & Upholstery Cleaners On Site,876 366 3758,,,,10% discount,,,,,
Home & Entertaining,Wayne’s Discount Centre ,7 Marescaux Road. ,876 754 6273,,,,CCRP members will pay wholesale rate on all items,,https://www.facebook.com/Waynes-Discount-Center-2222298071321738/,https://www.instagram.com/waynesdiscountcenter/,,
Automobile,GPSConnect,"8 Eureka Cres, Kgn 5 ",876 908 0107,,,,10% discount,,https://www.facebook.com/GPSconnect-Jamaica-Limited-1737539872929530/,https://www.instagram.com/gpsconnectjamaicalimited/,https://twitter.com/GpsconnectJa,
Automobile,Hertz International Car Rental,"9a Garelli Avenue, Kingston 10 ",876 960 0600,,,,15% discount,,,,,
Automobile,Irons’ Mechanical Services ,"White River, Ocho Rios ",876 974 9173                                      ,,,,15% discount,,,,,
Automobile,JAA ,"7 Central Avenue, Kingston 5 ",876 906 5343,,,,33% discount,,https://www.facebook.com/ILOVEJAA/,https://www.instagram.com/calljaa/,https://twitter.com/CallJAA,
Medical Services,Andrews Memorial Hospital," 27 Hope Road, Kgn 10,,",876 926 7401-3,,,,10% discount,www.andrewsmemorialhospital.com/,https://www.facebook.com/amhosp/,www.instagram.com/andrewsmemorialhospital/,,
Medical Services,Apex X-Ray & Ultrasound ,"2A Molynes Rd, Kingston 10,3A Winchester Road, Kingston 10,",876 926 7607            ,,,,15% discount,http://apex-radiology.com/,https://www.facebook.com/ApexRadiology,https://www.instagram.com/apexradiology/,,
Medical Services,"Dr Kanchara Bandara Coore, MD","Shortwood Medical Centre,Manuchant Medical Centre,",,,,,10% discount,kbcoore@yahoo.com,,,,
Medical Services,"Dr. Judit Baptiste Ph.D, Holistic Healing","#5 Hope View Avenue, Kingston 6, Hope Pastures          ,,",876 970 0064,,,,5% discount,,,,,
Medical Services,"Dr. Marcia Barnes, Southdale Dental","Shop 8, Southdale Plaza, Kingston ,,",876 929 3312,876 926 7474                              ,,,10% discount,www.southdaledental.com.jm,,,,
Medical Services,Centre for Diagnostic Imaging ,"94 1/4 Old Hope Rd.,,",876 946 9729                               ,,,,"15% discount
 (X- Ray, Ultrasound, CT-Scan)
",http://www.cdijamaica.com/index.html,https://www.facebook.com/CentreForDiagnosticImaging/,https://www.instagram.com/cdijamaica/,,
Medical Services,FISH (Foundation for Int’l. Self Help)                                   ,"2 Gordon Town Rd., Kingston 6,,",876 927 1106,876 977 1269,,,10% discount,,https://www.facebook.com/F.I.S.HFoundationforinternationalselfhelp/,,,
Medical Services,Hargreaves Memorial Hospital ,"32 Hargreaves Avenue, Mandeville,,",876 961 1589,,,,"10% discount - Emergency & Outpatient Services, Laboratory, Radiology (X-Ray, Ultrasound, Cat Scan), Pharmacy, Ambulance ||  5% discount – Hospitalization (including Operating Theatre)                                                                                           ",,https://www.facebook.com/HargreavesMemorialHospital/,https://www.instagram.com/hargreaveshospital/,,
Medical Services,Heart Institute of the Caribbean Foundation    ,"23 Balmoral Avenue, Kingston 10   ,1Brumalia Road, Mandeville, Manchester (876 625 7122),Unit C5B, Shoppes at Pineapple, Main Street, Ocho Rios, St Ann (876 974 8314)",876 906 2105                              ,,,,10% discount,,,,,
Medical Services,"Dr. Emerson Henry, “The Dentist”","Shop 9, Wyndham Complex, Knutsford Boulevard, Kgn 5,Papine 5 Chandos Place, Kgn 6,Morant Bay Shop #15B, Morant Bay Shopping Plaza",876 927 1013,,,,10% discount on oral and periodontal exams & cleaning,,,,,
Medical Services,Jamaica Cosmetic Dental Services ,"Suite #28, 7-9 Ardenne Road,,",876 978 4747,,,,5% discount on dental procedures,https://jamaica-cosmetic-dental-services.business.site/,https://www.facebook.com/jamaicasmiles/,https://www.instagram.com/jcdssmiles/,,
Medical Services,"Dr A. W Lawrence, Allergist","Medical Associates Hospital, 18 Tangerine Place,,",876 926 2513,,,,10% discount on consultation,,,,,
Medical Services,Med-Clinix,"Unit 27, Barbican Business Centre, 88 Barbican Road, Kingston 8,,",876 978 7380,,,, 15% discount,http://medclinix-services.com/page/faqs.html ,,,,
Medical Services,Medical Associates Hospital,"18 Tangerine Place, Kingston 10,,",876 926 1400,,,,10% discount,https://www.medicalassociateshospital.com/,https://www.facebook.com/MAHJamaica/,https://www.instagram.com/mah_jamaica/,,
Medical Services,Parkington Medical & Eye Centre,"26A Parkington Plaza, Kingston 10 ,,",876 920 3502,,,,20% discount on frames. Conditions apply,,,,,
Medical Services,Phoenix Gastroenterology ,"2 Phoenix Ave, Kgn 10 ,,",876 929 7108,,,,10% discount,,,,,
Medical Services,"PLC Services, Andrews Memorial Services ",",,",876 926 1805,,,,15% discount for physiotherapy services at Andrews Memorial Hospital,,,,,
Medical Services,Revamp Rehabilitation Centre - In-Patient Stroke Unit,"17 Latham Avenue, Kgn 6 ,,",876 946 1172 ,,,,"10% discount on services: physical therapy, speech therapy and occupational therapy",,,,,
Medical Services,Dr Veronica Salter - Release Therapist,"110 Old Hope Rd, Kgn 6 ,,",876 927 7420 ,876 770 4400,,,20% discount,,,,,
Medical Services,St Jago Ultrasound and X-Ray Diagnostic Services ,"St. Jago Shopping Centre, Spanish Town,,",876 984 7266                                                                       ,876-749-2090 ,,,15% discount  ,,,,,
Medical Services,The Smile Centre ,"27 Manning Hills Rd, Suite 4, Kgn 19 ,,",876 925 3637         ,,,,20% discount,,https://www.facebook.com/thesmilecentreja/?ref=br_rs,https://www.instagram.com/thesmilecentreja/,,
Medical Services,The Woman’s Place ,"1 Stanton Terrace Units 1&2,,",876 978 4359 ,876 927 8550,,,10% discount,http://www.womansplaceja.com/,https://www.facebook.com/womansplaceja/,,,
Medical Services,Dr Eulalee Thompson - Psychologist,"163 Old Hope Rd, Kgn 6 ,,",876 279 7446 ,876 977 1108,,,20% discount,,https://www.facebook.com/counselingandtherapy/?__tn__=%2Cd%2CP-R&eid=ARCpOfpnI49FIMpGifR4NjXP_XCD0-rm7uGwUa9AwkaNijzUJ1kHaWFSrbAeM1yN8VoIOEj7Y7kd-u8y,https://www.instagram.com/kingstontherapist/,,
Medical Services,Total Therapy ,"4 Queens Dr, Montego Bay ,,",,,,,10% discount  ,,https://www.facebook.com/totaltherapyjamaicalimited.org/?rf=715522338552067,https://www.instagram.com/totaltherapy246/,,
Medical Services,,",,",,,,,,,,,,
Pharmacy,Bewellers Pharmacy ,"2 Phoenix Ave, Kgn 10 ,,",876 634 7007,,,,15% discount,,https://www.facebook.com/BeWellersPharmacy/,https://www.instagram.com/bewellerspharmacy/,,
Pharmacy,Fontana Pharmacy,"34 East Kings House Road, Kgn 6 ,Manchester Shopping Centre Tel:876 962 3129  ,Fairview Town Centre, Montego Bay Tel 876 952 3866",876 946 2630 (Kgn),,,,10% discount,https://fontanapharmacy.com/,https://www.facebook.com/fontanapharmacy,https://www.instagram.com/fontana_pharmacy/,https://twitter.com/FontanaPharmacy,https://www.youtube.com/channel/UC1EHy4CmIHXRp742sRI41YQ
Pharmacy,J & J Pharmacy,"92 Barnett St, Montego Bay,Shop #3 Embassy Place, Montego Bay,82 Barnett Street, Montego Bay",876 940 4262,,,,10% discount on all purchases at all branches,http://www.jandjpharmacyltd.com/about-us/,,,,
Pharmacy,Johnson’s Pharmacy                                                            ,"25 Manchester Rd, Mandeville ,,",876 962 2464,,,,10% discount,,,,,
Pharmacy,New Kingston Pharmacy ,"30 Dominica Drive Shop#1, Kingston,,",876 908 3628 ,876 908 4765        ,,,5% discount on  vitamin supplements  10% discount to members over 60 ,http://www.newkingstonrx.com/,https://www.facebook.com/NewKgnRx/,,,
Pharmacy,New Papine Pharmacy,"5 Chandos Place, Kgn 6 ,,",876 927 2499         ,,,,10% discount on prescriptions,,,,,
Pharmacy,Smart Care Pharmacy,"70 Half Way Tree Road, Kgn 10 ,,",(876) 616-6010,,,,17.5% discount on prescriptions,,,,,
Pharmacy,South Avenue Pharmacy                                               ,"Shop 2, 6 South Avenue, Kgn.10 ,,",876 960 2018,,,,5% discount              ,,,,,
Pharmacy,Super Med Pharmacies,"28 Barbados Ave, Sagicor Building          
 New Kingston   Tel: 920-2701,920-8408,111A Molynes Rd, Kingston 20                   

  Tel: 934-3130,765-5282        ,Shop 12-20,  Mall Plaza
20 Constant spring Rd. Kingston 10 
Tel:926-2457,960-2145",876 934-3130,876 765-5282,,,"10% discount on prescriptions
5% discount on non prescription items (Islandwide)
",http://supermedpharmacy.com/page/contact-us.html,,,,
